Account,Actual,Budget
Income,,
   Billable Expense Income,,
   Discounts (deleted),,
   Discounts/Refunds Given,,
   Gross Receipts,,
   PayPal Sales,,
   Refunds (deleted),,
   Retail Revenue,0,"10,356.54"
   Sales,,
   Sales from Website (deleted),,
   Sales of Product Income,"11,195.32",0
      Amazon Sales,"140,698.69","223,716.43"
         Amazon Refunds,"-2,958.80",-1739.582752
      Total Amazon Sales,"$374,275.71 ","$234,304.77 "
      Fresh Dog,0,0
      Kickstarter Sales,0,0
      Other Sales Source,"13,053.35","11,338.79"
      POS,0,0
      Sales from Website,"1,476,393.66","235,819.43"
         Discounts/Refunds Given,0,0
         Shopify Discounts,0,0
         Shopify Refunds,-631.7997895,"-4,347.87"
         Stripe Refunds,-678.066864,0
      Total Sales from Website,"$294,170.45 ","$160,869.15 "
      Wholesale Sales,0,0
   Total Sales of Product Income,"$460,952.23 ","$265,974.72 "
   Shipping Income,"9,041.95","29,814.18"
      Shipping Refunds,-57.98686758,-81.33724266
   Total Shipping Income,"$80,952.19 ","$52,717.56 "
   Unapplied Cash Payment Income,0,0
   Uncategorized Income,0,0
Total Income,"$411,208.17 ","$349,490.65 "
Cost of Goods Sold,0,0
   Amazon Fees,"245,823.90","34,441.08"
   Amazon Promo Rebates,"6,594.92","4,349.09"
   Amazon Referral Fees,0,0
      Amazon Selling Fees,"14,067.83","68,609.29"
      Amazon Subscription Fees,41.07897607,1212.307755
   Total Amazon Referral Fees,"$12,987.87 ","$24,725.16 "
   COGS,"98,971.07","168,613.49"
      Amazon Transaction Fees (deleted),0,0
   Total COGS,"$102,901.73 ","$84,739.76 "
   Cost of labor - COS,"106,763.00","54,609.87"
   Customer Shipping - COS,"74,614.17","646,339.71"
   Ecommerce Transaction Fees,"8,417.47","5,430.98"
   Inventory Shrinkage,2069.920489,"12,136.95"
   Manufacturing Freight & Delivery - COS,"28,435.74","10,716.08"
   Other Costs - COS,"12,437.01",0
   Purchases - COS,0,0
   Reconciliation Adjustments,0,0
   Retail COGS,0,"6,798.23"
   Subcontractors - COS,0,0
   Supplies & Materials - COGS,"3,174.77","31,129.96"
Total Cost of Goods Sold,"$308,649.80 ","$1,012,198.39 "
Gross Profit,"$57,070.72 ","$186,165.13 "
Expenses,0,0
   Advertising & Marketing,0,0
      Online Advertising - Amazon (deleted),0,0
   Total Advertising & Marketing,$0.00 ,$0.00 
   Ask My Accountant,0,0
   Car & Truck,0,0
   Consultants/Commissions Expenses,0,0
   Dues & subscriptions (deleted),0,0
   Experimental Marketing,0,0
   Fixed Costs (deleted),0,0
      Insurance (deleted),0,0
      Professional Fees (deleted),0,0
      Stationery & Printing (deleted),0,0
         Gift Wrap and Box Packaging (deleted),0,0
      Total Stationery & Printing (deleted),$0.00 ,$0.00 
   Total Fixed Costs (deleted),$0.00 ,$0.00 
   General and Administrative Expenses,0,0
      Bank Charges/Interest,0,0
         Credit Card Interest,0,0
         Loan Interest Expense,0,"4,006.07"
         Other Bank Charges,7630.125392,238.159715
      Total Bank Charges/Interest,$119.31 ,"$4,783.78 "
      Contractors,0,0
      Dues & Subscriptions (deleted),0,0
      Freight & Delivery,0,0
      General and Administrative Dues and Subscriptions,272.4021052,607.2605039
      General and Administrative Headcount Costs,0,0
      Job Supplies,0,2408.023926
      Legal/Professional Fees,0,0
         Accounting Fees,"6,197.04","12,131.55"
         Accounting Software,0,0
         Amazon Consultant,0,0
         Insurance,"7,179.17","1,185.75"
         Insurance - Disability,0,0
         Insurance - Liability,0,0
         Insurance-Life,0,120.2811747
         Legal Fees,"15,792.55","31,260.85"
         Professional Fees,0,"1,420.73"
            Customer Service,"4,547.68","3,192.08"
